Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2020-12-08,GB,4710.0,4730.0,4701.0,4698.0,4715.0,4715.0,4711.57,5399.0,3562.0,930,4381756.18,118,8,12,2020,-0.005028667413686461,0.0010615711252653928,0.006168900233992768,0.004246284501061571,-0.001910828025477707
2020-12-07,GB,4708.0,4750.0,4698.0,4710.65,4698.0,4698.0,4700.57,5399.0,3562.0,1109,5212931.01,72,7,12,2020,-0.003605514316012748,-0.0021240441801189465,0.011068539804171988,0.008920985556499575,-0.0021240441801189465
2020-12-04,GB,4702.07,4734.9,4700.0,4709.03,4707.0,4710.65,4705.4,5399.0,3525.0,1118,5260642.71,73,4,12,2020,0.002692635163899393,0.0018247282579799808,0.007425531914893539,0.006982031318121578,-0.00044023164265944765
2020-12-03,GB,4729.58,4740.0,4700.0,4729.58,4720.0,4709.03,4716.73,5399.0,3525.0,789,3721499.3,94,3,12,2020,-0.00034390158470698484,-0.004344994692974891,0.00851063829787234,0.00220315545989286,-0.006254255134705392
2020-12-02,GB,4702.0,4735.0,4700.0,4690.75,4728.0,4729.58,4705.83,5399.0,3525.0,1498,7049334.22,110,2,12,2020,0.004363956058891061,0.005865589111016574,0.007446808510638298,0.007018290089323692,-0.0004253509145044662
2020-12-01,GB,4685.0,4745.0,4680.0,5148.0,4745.0,4690.75,4690.75,5399.0,3525.0,515,2415737.85,29,1,12,2020,-0.008210031334706214,0.0012273212379935966,0.013888888888888888,0.012806830309498399,-0.0010672358591248667
2020-11-14,GB,5148.0,5148.0,5148.0,5041.96,5148.0,5148.0,5148.0,5399.0,3525.0,1,5148.0,1,14,11,2020,0.0974790811703885,0.0,0.0,0.0,0.0
2020-11-12,GB,5041.84,5042.0,5041.84,5190.0,5042.0,5041.96,5041.96,5399.0,3525.0,12,60503.52,3,12,11,2020,-0.020598290598290547,2.380083461591222e-05,3.173444615454962e-05,3.173444615454962e-05,0.0
2020-11-10,GB,4723.0,5200.0,4723.0,5000.0,5190.0,5190.0,5058.35,5399.0,3525.0,46,232683.89,11,10,11,2020,0.029361597473998247,0.09887783188651281,0.10099513021384714,0.10099513021384714,0.0
2020-11-09,GB,5199.99,5200.0,5000.0,4852.01,5000.0,5000.0,5190.47,5399.0,3525.0,21,108999.96,3,9,11,2020,-0.036608863198458574,-0.038459689345556394,0.04,1.923080621350864e-06,-0.038459689345556394
2020-11-06,GB,4852.01,4852.01,4852.01,4812.0,4852.01,4852.01,4852.01,5399.0,3525.0,2,9704.02,1,6,11,2020,-0.029597999999999902,0.0,0.0,0.0,0.0
2020-11-05,GB,4812.0,4812.0,4812.0,5050.0,4812.0,4812.0,4812.0,5399.0,3525.0,18,86616.0,2,5,11,2020,-0.008246067093843679,0.0,0.0,0.0,0.0
2020-11-04,GB,5050.0,5050.0,5050.0,4900.0,5050.0,5050.0,5050.0,5399.0,3525.0,2,10100.0,1,4,11,2020,0.049459684123025704,0.0,0.0,0.0,0.0
2020-10-28,GB,4900.0,4900.0,4900.0,4950.0,4900.0,4900.0,4900.0,5399.0,3525.0,5,24500.0,1,28,10,2020,-0.02970297029702973,0.0,0.0,0.0,0.0
2020-10-21,GB,4950.0,4950.0,4950.0,4945.0,4950.0,4950.0,4950.0,5399.0,3525.0,5,24750.0,1,21,10,2020,0.010204081632652962,0.0,0.0,0.0,0.0
2020-10-16,GB,4944.0,4945.0,4935.0,4920.0,4945.0,4945.0,4944.4,5399.0,3525.0,63,311497.0,10,16,10,2020,-0.0010101010101010166,0.0002022653721682848,0.002026342451874367,0.0002022653721682848,-0.0018203883495145632
2020-10-12,GB,4900.0,4920.0,4900.0,4880.0,4920.0,4920.0,4904.0,5399.0,3525.0,20,98080.0,3,12,10,2020,-0.005055611729019249,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.0
2020-10-08,GB,4880.0,4880.0,4880.0,4782.0,4880.0,4880.0,4880.0,5399.0,3525.0,20,97600.0,2,8,10,2020,-0.008130081300813052,0.0,0.0,0.0,0.0
2020-10-07,GB,4860.0,4860.0,4782.0,4910.0,4782.0,4782.0,4796.18,5399.0,3525.0,11,52758.0,3,7,10,2020,-0.020081967213114726,-0.016049382716049384,0.01631116687578419,0.0,-0.016049382716049384
2020-10-01,GB,4910.0,4910.0,4910.0,4910.0,4910.0,4910.0,4910.0,5399.0,3428.0,2,9820.0,1,1,10,2020,0.026767043078209873,0.0,0.0,0.0,0.0
2020-09-30,GB,4880.0,4910.0,4880.0,4889.99,4910.0,4910.0,4889.71,5399.0,3428.0,34,166249.97,13,30,9,2020,0.0,0.006147540983606557,0.006147540983606557,0.006147540983606557,0.0
2020-09-25,GB,4889.99,4889.99,4889.99,4830.61,4889.99,4889.99,4889.99,5399.0,3428.0,1,4889.99,1,25,9,2020,-0.004075356415478626,0.0,0.0,0.0,0.0
2020-09-24,GB,4800.0,4848.99,4800.0,4849.0,4848.99,4830.61,4830.62,5399.0,3428.0,8,38644.95,2,24,9,2020,-0.012143174116920452,0.006377083333333265,0.010206249999999955,0.010206249999999955,0.0
2020-09-23,GB,4849.0,4849.0,4849.0,4849.0,4849.0,4849.0,4849.0,5399.0,3428.0,10,48490.0,1,23,9,2020,0.0038069726183649344,0.0,0.0,0.0,0.0
2020-09-22,GB,4860.0,4860.0,4849.0,4998.0,4849.0,4849.0,4856.13,5399.0,3428.0,24,116547.0,11,22,9,2020,0.0,-0.0022633744855967077,0.0022685089709218397,0.0,-0.0022633744855967077
2020-09-21,GB,5017.9,5018.0,4998.0,5019.0,4998.0,4998.0,5009.65,5399.0,3428.0,12,60115.8,3,21,9,2020,0.030727985151577597,-0.003965802427310157,0.004001600640256103,1.9928655413691743e-05,-0.003965802427310157
2020-09-18,GB,4915.0,5019.0,4915.0,4915.8,5019.0,5019.0,4967.65,5399.0,3428.0,54,268253.0,8,18,9,2020,0.004201680672268893,0.02115971515768057,0.02115971515768057,0.02115971515768057,0.0
2020-09-16,GB,4972.0,4972.0,4711.0,4970.0,4950.0,4915.8,4883.48,5399.0,3428.0,56,273475.1,14,16,9,2020,-0.020561864913329342,-0.011303298471440027,0.05540225005306729,0.0,-0.05249396621078037
